,id,user-type,name,email,password,creation-time,user-role,phone-number
0,0,creator,Angela Marshall,marvinmason@hoffman-smith.com,%^+X8Jx^ch,2021-07-28 10:57:22.274202,internal-admin,+1-841-771-4107x323
1,1,creator,Brent Baker,patricia82@gmail.com,S$6nAf*xGP,2021-07-28 10:57:22.331205,internal-admin,001-223-073-4961x700
2,2,creator,Edwin Smith,clarkpamela@yahoo.com,T2U($$Go%m,2021-07-28 10:57:22.388209,internal-admin,001-275-606-8649x30999
3,3,creator,Larry Cooper,lisaburns@carr.com,4_5ErUclKs,2021-07-28 10:57:22.444212,internal-admin,4822226364
4,4,creator,Cindy Silva,patriciajames@trevino.com,gS)mKcaV@4,2021-07-28 10:57:22.501215,internal-admin,001-228-946-0922x548
5,5,creator,Darryl Smith,lauraberry@hotmail.com,^)A^2fdBD2,2021-07-28 10:57:22.560219,internal-admin,+1-986-561-4409x67449
6,6,creator,Annette Hernandez,jonesmegan@fowler.org,@tO3t#FB1u,2021-07-28 10:57:22.615222,internal-admin,001-025-484-0189x08740
7,7,creator,Brian Chen,martinezamanda@yahoo.com,z+t7XXRwu1,2021-07-28 10:57:22.670225,internal-admin,001-796-396-3399x73297
8,8,creator,James Carroll,nicole01@mullins-kim.info,z7HcN)gC!u,2021-07-28 10:57:22.726228,internal-admin,2711467111
9,9,creator,Regina Dodson MD,raymond01@hotmail.com,_#3GmdN5&@,2021-07-28 10:57:22.781231,internal-admin,847.372.5057x61403
